Name,Curisine
Agra Petha,Indian
Balushahi,Indian
Besan laddu,Indian
Gajar ka Halwa,Indian
Rasgulla,Indian
Gulab Jamun,Indian
Jalebi,Indian
Imarti,Indian
Kalakand,Indian
Khopra Paak,Indian
Kheer,Indian
Kulfi,Indian
Motichoor laddu,Indian
Lassi,Indian
Malai ki Gilauri,Indian
Malai Laddu,Indian
Malai Pan,Indian
Mung Halwa,Indian
Peda,Indian
Burfi|Kaju Katli,Indian
Ras malai,Indian
Singori,Indian
Sohan Halwa,Indian
Boondi,Indian
Ghee-based,Indian
Sohan Papdi/Pateesa,Indian
Abar-khabo,Indian
Amriti,Indian
Boondi,Indian
Chhena gaja,Indian
Chhena jalebi,Indian
Chhena kheeri,Indian
Chhena payesh,Indian
Chhena poda,Indian
Cham cham,Indian
Jal-bhora,Indian
Kadapak,Indian
Kalo jam,Indian
Kancha-golla,Indian
Kheer er chop,Indian
Kheer sagar,Indian
Komolabhog,Indian
Ledikeni,Indian
Lyangcha,Indian
Malapua (dessert),Indian
Mihidana,Indian
Milk cake,Indian
Misti doi,Indian
Narkeler naru,Indian
Pantua,Indian
Pati shapta,Indian
Pithe,Indian
Pranohora,Indian
Rabri,Indian
Rajbhog,Indian
Rasabali,Indian
Rasgulla,Indian
Raskadamba,Indian
Ras malai,Indian
Sandesh,Indian
Shor bhaja,Indian
Shor puria,Indian
Sitabhog,Indian
Ada (food),Indian
Adhirasam,Indian
Kozhikode Halwa,Indian
Ariselu,Indian
Bandar laddu,Indian
Coconut burfi,Indian
Dharwad pedha,Indian
Double ka meetha,Indian
Gavvalu,Indian
Jaangiri,Indian
Kakinada Khaja,Indian
Kajjikaayalu,Indian
Kozhakkattai,Indian
Qubani ka meetha,Indian
Mysore pak,Indian
Palathalikalu,Indian
Kuzhi paniyaram,Indian
Obbattu/Holige,Indian
Pootharekulu,Indian
Sheer korma,Indian
Unni appam,Indian
Kashi Halva,Indian
Aval Nanachathu,Indian
Badam Halwa,Indian
Badushaah,Indian
Bellam Garelu,Indian
Bellam Pasham,Indian
Coconut burfi,Indian
Coconut laddu,Indian
Doodh Pedha,Indian
Halbai,Indian
Karjikai,Indian
Kozhukattai (Kolukattai or kudumulu),Indian
Manoharam,Indian
Neyyapam,Indian
Pal Kozhukkatai,Indian
Peni,Indian
Poornalu,Indian
Rava laddu,Indian
Sajjige,Indian
Sarkarapuratty,Indian
Sunnundalu,Indian
Anarsa,Indian
Shrikhand,Indian
Basundi,Indian
Gavhachi Kheer/ Dalia Kheer,Indian
Dhondas,Indian
Doodhpak,Indian
Kaju Katli,Indian
Modak,Indian
Modak ukkadicha,Indian
Puran Poli,Indian
Shankarpale,Indian
Dinkache ladoo,Indian
Sudha ras,Indian
Aamras,Indian
Shikran,Indian
Karanji,Indian
Adadiyu,Indian
Chirote,Indian
Coconut cake(Naralachi wadi),Indian
Coconut Rice(Narali Bhat),Indian
Dudhi Halwa,Indian
Gharge,Indian
Ghari,Indian
Gol papadi,Indian
Gulpoli,Indian
Karanji,Indian
Kharwas,Indian
Magas,Indian
Mahim Halwa,Indian
Mohan thaal,Indian
Rava/Besan Ladoo,Indian
Sutar feni,Indian
Sweet Potato Halwa(Ratala che Kaap),Indian
Barfi,Indian
Caramel custard,Indian
Halva,Indian
Kheer,Indian
Laddoo,Indian
Peda,Indian
Angel wings,Italian
Barbajada,Italian
Baxin,Italian
Biscuit Tortoni,Italian
Bruttiboni,Italian
Budino,Italian
Cannoli,Italian
Cassata,Italian
Cavallucci,Italian
Colomba di Pasqua,Italian
Confetti,Italian
Crocetta of Caltanissetta,Italian
Crostata,Italian
Cucidati,Italian
Flourless chocolate cake,Italian
Gelato,Italian
Genoise,Italian
Granita,Italian
Italian ice,Italian
Marron glacé,Italian
Marzipan,Italian
Mustacciuoli,Italian
Neapolitan ice cream,Italian
Nocciolini di Canzo,Italian
