Name,Cuisine
Arch Deluxe,American
"Bacon, egg and cheese sandwich",American
Beef on weck,American
Big Mac,American
Big N' Tasty,American
BLT,American
Bologna sandwich,American
Bonus Jack,American
Breakfast sandwich,American
Cheese dream,American
Cheese sandwich,American
Cheeseburger,American
Cheesesteak,American
Chicken sandwich,American
Chow mein sandwich,American
Ciabatta Bacon Cheeseburger,American
Club sandwich,American
Coney Island hot dog,American
Crab cake sandwich,American
Croissan'wich,American
Cuban sandwich,American
Cudighi,American
Dagwood sandwich,American
Denver sandwich,American
Double Down,American
Enormous Omelet Sandwich,American
Fat sandwich,American
Filet-O-Fish,American
Fluffernutter,American
Fool's Gold Loaf,American
French dip,American
Fried-brain sandwich,American
Gerber sandwich,American
Ham and cheese sandwich,American
Hamburger,American
Hamdog,American
Horseshoe sandwich,American
Hot Brown,American
Hot dog,American
Italian beef,American
Jucy Lucy,American
Limburger sandwich,American
Lobster roll,American
Luther Burger,American
Manwich,American
Maxwell Street Polish,American
McChicken,American
McGriddles,American
McMuffin,American
McRib,American
Melt sandwich,American
Monte Cristo sandwich,American
Muffuletta,American
Patty melt,American
Peanut butter and jelly sandwich,American
"Peanut butter, banana and bacon sandwich",American
Pilgrim,American
Po' boy,American
Polish Boy,American
Pork tenderloin sandwich,American
Quarter Pounder,American
Reuben sandwich,American
Runza,American
Sailor sandwich,American
Sandwich loaf,American
Sandwich wrap,American
Sausage sandwich,American
Sealed crustless sandwich,American
Sloppy joe,American
Spiedie,American
St. Paul sandwich,American
Steak sandwich,American
Submarine sandwich,American
Tavern sandwich,American
Tuna fish sandwich,American
Turkey Devonshire,American
Veggie burger,American
Whopper,American
Beef noodle soup,Chinese
Black sesame soup,Chinese
Buddha Jumps Over the Wall,Chinese
Cantonese seafood soup,Chinese
Chicken and duck blood soup,Chinese
Chicken soup,Chinese
chicken broth,Chinese
ginger,Chinese
scallions,Chinese
black pepper,Chinese
soy sauce,Chinese
rice wine,Chinese
sesame oil,Chinese
Corn crab soup,Chinese
Crossing the bridge noodles,Chinese
Duck blood and vermicelli soup,Chinese
Edible bird's nest,Chinese
Egg drop soup,Chinese
Hot and sour soup,Chinese
Lettuce soup,Chinese
Liver soup,Chinese
Lung fung soup,Chinese
Noodle soup,Chinese
Oxtail soup,Chinese
Pig's organ soup,Chinese
Pork blood soup,Chinese
Red bean soup,Chinese
Sago soup,Chinese
Shark fin soup,Chinese
Sweet potato soup,Chinese
Tomato and egg soup,Chinese
Turtle soup,Chinese
Singapore,Chinese
Chinese,Chinese
Wonton noodle,Chinese
Aam papad,Indian
Aappam,Indian
Ada,Indian
Anarsa,Indian
Ariselu,Indian
Baingan Bharta,Indian
Banana chips,Indian
Basundi,Indian
Batata vada,Indian
Bhajji,Indian
Bhelpuri,Indian
Bhoonja,Indian
Bikaneri Bhujia,Indian
Biryani,Indian
Bonda,Indian
Carrot (Gaajar in Hindi),Indian
Chaat,Indian
Chakodi,Indian
Chapati,Indian
Chole bhature,Indian
Cut Mirchi Bajji,Indian
Dabeli,Indian
Dahi puri,Indian
Dahi vada,Indian
Dosa,Indian
Khandvi,Indian
Flattened rice,Indian
Gaare,Indian
Gajar ka halwa,Indian
Gavvalu,Indian
Ghever,Indian
Ghugni,Indian
Gulab jamun,Indian
Halva,Indian
Indian omelette,Indian
Indian-mix,Indian
Idli,Indian
Jalebi,Indian
Jhal-Muŗi (West Bengal),Indian
Kachori,Indian
Kalathappam,Indian
Kati roll,Indian
Kebab,Indian
Kesari,Indian
Khakhra,Indian
Khaman,Indian
Khandvi,Indian
Kinnathappam,Indian
Kosambari,Indian
Laddoo,Indian
Lentils,Indian
Lukhmi,Indian
Maddur vada,Indian
Makka Poha,Indian
Malapua,Indian
Mangalore bajji,Indian
Masala puri,Indian
Modak,Indian
Momo,Indian
Mirchi Bajji,Indian
Murukku,Indian
Mysore pak,Indian
Namak para,Indian
Namkeen,Indian
Pakora,Indian
Pakwan,Indian
Palappam,Indian
Paneer tikka,Indian
Panipuri,Indian
Papadum,Indian
Papri chaat,Indian
Paratha,Indian
Parotta,Indian
Pav Bhaji,Indian
Pohe (Maharashtrian),Indian
Ponganalu,Indian
Poornalu,Indian
Pootharekulu,Indian
Potato chips,Indian
Puffs,Indian
Puffed rice,Indian
Punugulu,Indian
Puran Poli,Indian
Puri,Indian
Puri bhaji,Indian
Ros Omelette,Indian
Sabudana vada,Indian
Sakinalu,Indian
Samosa – also known as tikona,Indian
Sandwich,Indian
Sarva Pindi,Indian
Sev mamra,Indian
Shankarpali,Indian
Shrikhand,Indian
Vada pav (Maharashtrian),Indian
Vadai,Indian
Upma,Indian
