Title,Year
Crimson Peak,-2015
Goosebumps,-2015
Knock Knock,-2015
The Inhabitant,-2016
Paranormal Activity: The Ghost Dimension,-2015
The Green Inferno,-2013
Bone Tomahawk,-2015
Scouts Guide to the Zombie Apocalypse,-2015
Pride and Prejudice and Zombies,-2016
Tales of Halloween,-2015
The Final Girls,-2015
The Visit,-2015
Attack on Titan: Part 2,-2015
Pay the Ghost,-2015
Halloween,-1978
Circle,-2015
The Lazarus Effect,-2015
Insidious: Chapter 3,-2015
Krampus,-2015
Sleepy Hollow,-1999
The Vatican Tapes,-2015
It Follows,-2014
Re-Kill,-2015
Goodnight Mommy,-2014
Victor Frankenstein,-2015
Cooties,-2014
The Diabolical,-2015
The Shining,-1980
Regression,-2015
Scream,-1996
Infini,-2015
Poltergeist,-2015
The Conjuring,-2013
Howl,-2015
I Spit on Your Grave: Vengeance is Mine,-2015
Halloween,-2007
Hidden,-2015
Resident Evil: The Final Chapter,-2017
The Babadook,-2014
The Witch,-2015
Alien,-1979
The Gallows,-2015
American Psycho,-2000
Only Lovers Left Alive,-2013
Mama,-2013
The Exorcist,-1973
Halloween II,-2009
Visions,-2015
Psycho,-1960
The Last House on the Left,-2009
Insidious,-2010
What We Do in the Shadows,-2014
The Forest,-2016
Scream 4,-2011
A Nightmare on Elm Street,-1984
Unfriended,-2014
Attack on Titan: Part 1,-2015
Freaks of Nature,-2015
Poltergeist,-1982
The Exorcism of Molly Hartley,-2015
Paranormal Activity,-2007
Saw,-2004
Hansel & Gretel: Witch Hunters,-2013
The Boy,-2015
Tremors,-1990
Aliens,-1986
I Know What You Did Last Summer,-1997
The Cabin in the Woods,-2012
Child's Play,-1988
Dracula Untold,-2014
Dracula,-1992
Annabelle,-2014
I Spit on Your Grave,-2010
World War Z,-2013
Nina Forever,-2015
Constantine,-2005
The Evil Dead,-1981
Paranormal Activity 4,-2012
Dawn of the Dead,-2004
Sweeney Todd: The Demon Barber of Fleet Street,-2007
Trick 'r Treat,-2007
The Woods,-2015
Halloween II,-1981
Children of the Corn,-1984
A Wicked Within,-2015
Sinister,-2012
A Christmas Horror Story,-2015
Friday the 13th,-2009
Last Shift,-2014
House of Wax,-2005
The Lost Boys,-1987
Sinister 2,-2015
