Things to Come,-1936
Star Wars: Episode VII - The Force Awakens,-2015
The Martian,-2015
Back to the Future,-1985
Back to the Future Part II,-1989
Jurassic World,-2015
Batman v Superman: Dawn of Justice,-2016
Tomorrowland,-2015
Ratchet and Clank,-2016
Avengers: Age of Ultron,-2015
Mad Max: Fury Road,-2015
The Hunger Games: Mockingjay - Part 2,-2015
Star Wars,-1977
Captain America: Civil War,-2016
Interstellar,-2014
X-Men: Apocalypse,-2016
Maze Runner: The Scorch Trials,-2015
Back to the Future Part III,-1990
Terminator Genisys,-2015
Pixels,-2015
Star Wars: Episode I - The Phantom Menace,-1999
Deadpool,-2016
Star Wars: Episode III - Revenge of the Sith,-2005
Star Wars: Episode VI - Return of the Jedi,-1983
Independence Day: Resurgence,-2016
Guardians of the Galaxy,-2014
The Lobster,-2015
Ghostbusters,-2016
Jupiter Ascending,-2015
Ex Machina,-2015
The Maze Runner,-2014
Ant-Man,-2015
Rogue One: A Star Wars Story,-2016
Star Wars: Episode V - The Empire Strikes Back,-1980
Star Wars: Episode VIII,-2017
Inception,-2010
Power Rangers,-2017
Circle,-2015
The Lazarus Effect,-2015
Assassin's Creed,-2016
Jurassic Park,-1993
Star Wars: Episode II - Attack of the Clones,-2002
Insurgent,-2015
The Hunger Games,-2012
Re-Kill,-2015
Star Trek Beyond,-2016
Z for Zachariah,-2015
The Avengers,-2012
Victor Frankenstein,-2015
A Clockwork Orange,-1971
X-Men: Days of Future Past,-2014
The 5th Wave,-2016
Cooties,-2014
The Diabolical,-2015
The Fifth Element,-1997
Divergent,-2014
Edge of Tomorrow,-2014
Air,-2015
Fantastic Four,-2015
Infini,-2015
The Matrix,-1999
Man of Steel,-2013
Self/less,-2015
The Hunger Games: Mockingjay - Part 1,-2014
Big Hero 6,-2014
Mad Max,-1979
Home,-2015
Resident Evil: The Final Chapter,-2017
Eternal Sunshine of the Spotless Mind,-2004
Alien,-1979
The Divergent Series: Allegiant,-2016
Turbo Kid,-2015
Pacific Rim,-2013
Prometheus,-2012
2001: A Space Odyssey,-1968
Project Almanac,-2014
Captain America: The Winter Soldier,-2014
Her,-2013
Chappie,-2015
Guardians of the Galaxy Vol. 2,-2017
Avatar,-2009
Watchmen,-2009
Blade Runner,-1982
Star Trek Into Darkness,-2013
Lucy,-2014
Oblivion,-2013
Donnie Darko,-2001
The Hunger Games: Catching Fire,-2013
Dragon Ball Z: Resurrection 'F',-2015
Captain America: The First Avenger,-2011
Star Trek,-2009
Alien: Paradise Lost,-2017
Limitless,-2011
The Terminator,-1984
Terminator 2: Judgment Day,-1991
Gravity,-2013
Transformers: Age of Extinction,-2014
Iron Man,-2008
Gambit,-2016
The Lost World: Jurassic Park,-1997
Elysium,-2013
The Giver,-2014
Snowpiercer,-2013
The Amazing Spider-Man 2,-2014
Godzilla,-2014
Untitled Jurassic World Sequel,-2018
Predestination,-2014
Tremors,-1990
Aliens,-1986
Teenage Mutant Ninja Turtles 2,-2016
Teenage Mutant Ninja Turtles,-2014
World War Z,-2013
Iron Man 3,-2013
I Am Number Four,-2011
X-Men: First Class,-2011
Dawn of the Dead,-2004
Avengers: Infinity War - Part I,-2018
GoldenEye,-1995
Cloud Atlas,-2012
Painkillers,-2015
Looper,-2012
High-Rise,-2015
X-Men,-2000
Super 8,-2011
Transformers,-2007
Dawn of the Planet of the Apes,-2014
After Earth,-2013
Minority Report,-2002
The Signal,-2014
Armageddon,-1998
E.T. the Extra-Terrestrial,-1982
Jurassic Park III,-2001
Under the Skin,-2013
Transcendence,-2014
Total Recall,-2012
Paul,-2011
The Purge,-2013
Moon,-2009
Superman Returns,-2006
The Justice League Part One,-2017
X-Men Origins: Wolverine,-2009
Green Lantern,-2011
Serenity,-2005
Mr. Nobody,-2009
Resident Evil: Retribution,-2012
In Time,-2011
The Thing,-1982
Extinction,-2015
Hellboy,-2004
The Mist,-2007
Avatar 2,-2017
TRON: Legacy,-2010
A.I. Artificial Intelligence,-2001
Attack the Block,-2011
Black Panther,-2018
Independence Day,-1996
Ant-Man and the Wasp,-2018
Signs,-2002
Children of Men,-2006
The Monster Squad,-1987
Terminator Salvation,-2009
Vice,-2015
I Origins,-2014
Starship Troopers,-1997
War for the Planet of the Apes,-2017
G.I. Joe: Retaliation,-2013
Passengers,-2016
Absolutely Anything,-2015
Lost in Space,-1998
Source Code,-2011
I Am Legend,-2007
Mad Max 2: The Road Warrior,-1981
The Spy Who Loved Me,-1977
Untitled Spider-Man Reboot,-2017
Battleship,-2012
WALL·E,-2008
The Circle,-2016
Dredd,-2012
Star Wars: Episode IX,-2019
Ender's Game,-2013
Iron Man 2,-2010
Hellboy II: The Golden Army,-2008
The Butterfly Effect,-2004
Hulk,-2003
Left Behind,-2014
Blade: Trinity,-2004
Spaceballs,-1987
The Running Man,-1987
The League of Extraordinary Gentlemen,-2003
Twelve Monkeys,-1995
John Carter,-2012
The Purge: Anarchy,-2014
Blade II,-2002
Terminator 3: Rise of the Machines,-2003
The Incredible Hulk,-2008
The Wraith,-1986
District 9,-2009
Equals,-2015
Predator,-1987
War of the Worlds,-2005
The World's End,-2013
The Day After Tomorrow,-2004
The Matrix Reloaded,-2003
Men in Black,-1997
X-Men: The Last Stand,-2006
Sunshine,-2007
Escape from New York,-1981
The Sand,-2015
Mary Shelley's Frankenstein,-1994
RoboCop,-2014
2012,-2009
Riddick,-2013
The Phoenix Incident,-2015
Idiocracy,-2006
Time Lapse,-2014
Resident Evil: Afterlife,-2010
Contact,-1997
Event Horizon,-1997
In Your Eyes,-2014
Dune,-1984
Spy Kids,-2001
June,-2015
Face/Off,-1997
The Adjustment Bureau,-2011
Total Recall,-1990
Daredevil,-2003
Gattaca,-1997
Mad Max Beyond Thunderdome,-1985
Moonraker,-1979
G.I. Joe: The Rise of Cobra,-2009
The Faculty,-1998
The Zero Theorem,-2013
Area 51,-2015
The Wolverine,-2013
The Matrix Revolutions,-2003
Mars Attacks!,-1996
Cloverfield,-2008
The Hitchhiker's Guide to the Galaxy,-2005
Equilibrium,-2002
Coherence,-2013
28 Weeks Later,-2007
The Happening,-2008
Real Steel,-2011
Fantastic Four,-2005
Never Let Me Go,-2010
Jumper,-2008
Superman,-1978
The Host,-2013
Melancholia,-2011
Brazil,-1985
Resident Evil: Apocalypse,-2004
Monster Island,-2004
Pandorum,-2009
Stargate,-1994
Hot Tub Time Machine 2,-2015
Reign of Fire,-2002
RoboCop,-1987
Jason X,-2001
X2,-2003
Planet of the Apes,-2001
The Chronicles of Riddick,-2004
Lilo & Stitch,-2002
Push,-2009
The Flash,-2018
Transformers: Revenge of the Fallen,-2009
Ready Player One,-2017
Sharknado 3: Oh Hell No!,-2015
Sky High,-2005
The Island,-2005
Slither,-2006
Wonder Woman,-2017
Transformers: Dark of the Moon,-2011
Halloween III: Season of the Witch,-1982
Bill & Ted's Excellent Adventure,-1989
Men in Black 3,-2012
Transformers 5,-2017
Atlantis: The Lost Empire,-2001
9,-2009
Rise of the Planet of the Apes,-2011
Unbreakable,-2000
Journey 2: The Mysterious Island,-2012
Masters of the Universe,-1987
The Man from Earth,-2007
Alien: Resurrection,-1997
Spring,-2014
Underworld: Rise of the Lycans,-2009
Parallels,-2015
Seventeen Again,-2000
The Fountain,-2006
Sphere,-1998
Narcopolis,-2015
"I, Robot",-2004
Alien³,-1992
Hot Tub Time Machine,-2010
Men in Black II,-2002
Deep Blue Sea,-1999
The Fly,-1986
Underworld: Evolution,-2006
Spy Kids: All the Time in the World in 4D,-2011
Vanilla Sky,-2001
Star Wars: The Clone Wars,-2008
Contagion,-2011
Primer,-2004
Mortal Kombat,-1995
Metropolis,-1927
Dark City,-1998
1984,-1984
Barbarella,-1968
Predators,-2010
"Honey, I Shrunk the Kids",-1989
Waterworld,-1995
Resident Evil: Extinction,-2007
The Cell,-2000
Mad Max: The Wasteland,-2015
Pitch Black,-2000
Doom,-2005
They Live,-1988
Priest,-2011
Howard the Duck,-1986
Close Encounters of the Third Kind,-1977
Austin Powers: The Spy Who Shagged Me,-1999
Frankenweenie,-2012
R.I.P.D.,-2013
"I, Frankenstein",-2014
The Maze Runner: The Death Cure,-2017
Automata,-2014
Teenage Mutant Ninja Turtles,-1990
The Thing,-2011
The Day the Earth Stood Still,-2008
Megamind,-2010
Powder,-1995
Planet of the Apes,-1968
Premonition,-2007
The Anomaly,-2014
Cube,-1997
Seeking a Friend for the End of the World,-2012
Evolution,-2001
Cowboys & Aliens,-2011
Dark Skies,-2013
Comet,-2014
